295, 361, 37, 52, -4, 0
353, 315, 39, 24, -2, 1
395, 303, 21, 18, 9, 1
302, 359, 27, 47, 9, 1
363, 327, 50, 35, -1, 1
264, 320, 42, 39, 0, 0
290, 349, 41, 40, -9, 0
234, 410, 34, 50, -28, 0
354, 332, 38, 32, -1, 1 
289, 382, 33, 52, -17, 0
410, 376, 35, 47, 10, 1
320, 384, 37, 51, -3, 0
338, 436, 32, 54, -12, 0
263, 404, 25, 56, 5, 0 
417, 268, 55, 24, 10, 1
415, 339, 31, 37, 15, 1
355, 272, 43, 18, 12, 1
478, 329, 48, 28, 7, 1
281, 393, 30, 33, -14, 0
382, 252, 37, 27, 5, 1
458, 296, 42, 35, 6, 1
448, 326, 42, 20, 7, 1
246, 388, 27, 34, -3, 0
298, 382, 28, 47, -4, 0
301, 373, 31, 24, -14, 0
457, 295, 38, 36, 11, 1
406, 308, 56, 24, 2, 1
331, 383, 30, 43, -3, 0
366, 332, 39, 43, 8, 1
335, 382, 22, 40, -1, 0
334, 356, 43, 35, -4, 1
342, 388, 42, 41, -4, 0
