355,6026,1020,5.9,15,4,337,366,583,4431,28,11,7.4,220,419,1595,10,3.8,84,108,927,33,177,33.3,8.5,26.1,245,5.94,34.1,1.88,272,5254,997,5.3,27,9,282,329,524,3156,17,18,5.6,153,430,2098,11,4.9,99,109,996,30,179,28.5,15.1,27.1,241,5.7,29.3,1.48,0
478,5784,1000,5.8,21,14,311,320,518,3831,28,7,7.0,185,454,1953,17,4.3,97,107,922,29,190,45.3,9.5,32.9,232,5.51,30.4,2.33,329,5432,1021,5.3,28,10,300,324,555,3475,21,18,5.8,181,418,1957,15,4.7,86,102,808,33,193,30.6,14.0,27.7,229,5.5,28.2,1.66,1
281,4923,995,4.9,29,8,284,373,602,3535,24,21,5.6,187,360,1388,4,3.9,66,137,1154,31,190,25.8,15.3,28.1,229,5.39,25.9,1.36,393,5371,989,5.4,15,6,319,339,528,3603,26,9,6.5,190,431,1768,14,4.1,88,122,1077,41,186,36.6,8.1,28.9,238,5.5,28.5,1.98,0
382,5710,1055,5.4,14,6,334,357,527,3753,25,8,6.8,196,501,1957,15,3.9,100,100,949,38,185,38.9,7.6,29.4,248,5.91,30.9,2.03,252,4415,956,4.6,19,5,260,324,555,3078,13,14,5.2,168,364,1337,10,3.7,59,105,928,33,179,27.9,10.1,27.7,228,5.5,24.6,1.35,1
458,6307,1070,5.9,12,4,389,389,587,4418,32,8,7.1,232,448,1889,16,4.2,107,95,835,50,174,49.4,6.9,28.5,249,6.38,36.1,2.61,296,5856,1022,5.7,18,6,325,367,590,4020,24,12,6.4,204,390,1836,6,4.7,98,111,1035,23,172,30.2,9.9,24.8,244,6.1,34.0,1.60,1
448,6259,1000,6.3,18,10,332,386,536,4189,23,8,7.5,201,444,2070,23,4.7,111,105,967,20,175,44.6,9.1,29.6,251,5.97,35.6,2.41,326,5384,1002,5.4,25,5,308,329,554,3597,22,20,6.0,172,406,1787,11,4.4,92,108,850,44,177,33.3,13.6,25.8,237,5.9,30.4,1.75,1
246,5028,1036,4.9,22,8,271,373,608,3479,20,14,5.4,178,394,1549,6,3.9,66,91,895,27,194,22.7,11.3,26.7,222,5.48,25.9,1.22,388,5971,1052,5.7,19,6,313,347,561,4038,32,13,6.9,189,464,1933,10,4.2,101,115,923,23,197,35.5,9.6,30.1,235,5.5,30.3,1.92,0
298,4884,984,5.0,24,12,269,323,510,3182,19,12,5.7,157,427,1702,13,4.0,77,119,1035,35,199,28.6,11.1,27.6,226,5.12,24.5,1.50,382,5636,1052,5.4,20,9,329,329,558,3749,30,11,6.4,191,466,1887,13,4.0,88,114,981,50,192,33.3,10.4,28.4,232,5.7,29.2,1.90,0
301,5185,952,5.4,28,14,287,347,558,3631,23,14,6.2,178,370,1554,13,4.2,78,114,1009,31,178,29.2,15.2,28.3,236,5.49,29.1,1.69,373,5601,994,5.6,14,9,304,361,530,3858,24,5,6.9,187,433,1743,11,4.0,93,102,944,24,171,40.9,7.0,27.8,255,6.1,32.9,2.07,0
457,5852,1073,5.5,20,11,338,341,564,3737,38,9,6.2,193,473,2115,9,4.5,108,116,962,37,191,40.3,9.4,30.0,244,5.81,30.5,2.21,295,4904,976,5.0,31,12,272,363,601,3637,24,19,5.7,177,337,1267,7,3.8,62,101,917,33,188,27.1,15.4,28.2,219,5.3,26.1,1.47,1
406,6047,1051,5.8,20,5,348,384,590,4380,29,15,7.1,217,437,1667,12,3.8,96,101,897,35,179,43.0,10.6,29.3,252,6.09,33.7,2.23,308,4910,940,5.2,22,6,270,297,499,3217,20,16,5.8,157,385,1693,14,4.4,89,110,1041,24,178,30.3,12.4,25.9,232,5.4,27.6,1.67,1
331,5587,1058,5.3,23,8,321,362,607,3925,15,15,6.0,206,408,1662,15,4.1,88,123,988,27,184,37.5,12.0,27.6,233,5.99,30.3,1.78,383,5625,1065,5.3,20,10,343,344,544,3764,27,10,6.6,198,491,1861,13,3.8,108,97,791,37,188,37.8,10.1,29.5,243,5.9,29.8,1.98,0
366,5286,1007,5.2,17,5,299,340,555,3657,34,12,6.1,183,409,1629,4,4.0,85,148,1342,31,197,30.5,8.6,28.5,223,5.27,26.8,1.71,332,5171,1045,4.9,25,11,316,325,554,3347,19,14,5.6,181,452,1824,14,4.0,90,102,878,45,193,33.2,11.9,29.5,233,5.6,26.8,1.68,0
335,5814,1035,5.6,27,13,352,378,605,4366,26,14,6.8,243,390,1448,8,3.7,76,104,795,33,175,33.7,15.4,27.6,243,6.13,33.1,1.79,382,6049,1011,6.0,26,13,327,371,549,4169,22,13,7.3,202,440,1880,17,4.3,102,109,937,23,175,38.9,13.1,29.3,247,6.0,34.6,2.13,0
334,5024,974,5.2,25,8,290,306,496,3191,14,17,6.0,157,443,1833,18,4.1,97,85,785,36,191,35.1,12.6,28.7,232,5.32,26.3,1.72,356,5248,1046,5.0,21,9,323,369,605,3828,27,12,5.9,231,398,1420,5,3.6,68,119,942,24,185,37.3,10.8,28.7,238,5.9,28.3,1.81,1
342,5199,982,5.3,27,14,278,347,540,3751,27,13,6.5,191,401,1448,10,3.6,66,92,733,21,191,31.9,12.6,29.4,230,5.30,27.0,1.73,388,5566,1045,5.3,23,7,307,306,531,3420,23,16,6.0,171,472,2146,13,4.5,105,100,887,31,195,35.9,11.8,30.3,230,5.6,28.4,1.82,0
